1,adik,adik
2,baca,baca
3,bapak,bapak
4,belajar,belajar
5,besar,besar
6,bicara,bicara
7,buka,buka
8,cinta,cinta
9,diam,diam
10,dingin,dingin
11,foto,foto
12,ibu,ibu
13,istirahat,istirahat
14,jalan,jalan
15,jam,jam
16,kakak,kakak
17,kecil,kecil
18,keluarga,keluarga
19,kursi,kursi
20,laki laki,lakilaki
21,libur,libur
22,lupa,lupa
23,maaf,maaf
24,makan,makan
25,malam,malam
26,meja,meja
27,minum,minum
28,nama,nama
29,pagi,pagi
30,perempuan,perempuan
31,pramuka,pramuka
32,sakit,sakit
33,sandal,sandal
34,saya,saya
35,sekolah,sekolah
36,siang,siang
37,sore,sore
38,telepon,telepon
39,teman,teman
40,terima kasih,terimakasih
41,tidur,tidur
42,tutup,tutup
43,upacara,upacara
